shiftb	a	b	k
950.844	12021.38	11711.6	6438.72
949.355	11948.625	11515.6	6432.9
947.866	11903.87	11570.9	6371.78
946.377	11935.815	11269.2	6560.66
944.887	12129.465	11266.9	6467.66
943.397	12085.915	11380.4	6611.26
941.907	12259.265	11411.6	6464.56
940.416	12369.42	11629	6774.18
938.925	12382.875	11863.1	6602.4
937.434	12393.43	12116.7	6824.72
935.943	12579.585	12179.6	6788.74
934.451	12630.945	12559.8	6954.08
932.96	12519.1	12470.1	6690.2
931.467	12372.765	12278.8	6702.96
929.975	12028.825	12185.3	6412.6
928.482	11850.89	12094.7	6462.26
926.989	11807.955	11902.4	5848.82
925.496	11517.92	11903.4	6092.88
924.003	11422.685	11953.4	6309.94
922.509	11392.155	11991.1	6021.62
921.015	11542.425	11981.4	6043
919.521	11533.095	11792.7	5820.08
918.026	11214.97	11502.1	5806.38
916.531	11161.645	11183.1	5622.08
915.036	10944.02	10744.9	5462.98
913.541	10656.795	10204.4	5332.28
912.045	10381.875	9713.1	5133.2
910.549	10194.555	9406.9	4696.82
909.053	10014.535	9179.3	4907.34
907.556	9951.02	8827.1	4843.78
906.06	9727.7	8729.5	5092.6
904.563	9706.585	8547.9	5184.34
903.065	9831.175	8410.3	5214.4
901.568	9720.96	8473.6	5204.24
900.07	9792.25	8638.1	5120.8
898.572	9791.64	8600.7	5412.76
897.073	9732.135	8913.1	5477.84
895.575	9684.325	9002.4	5336
894.076	9594.82	9078.9	5242.58
892.577	9569.815	9362.1	5564.36
891.077	9389.815	9655.8	5537.66
889.577	9456.615	9797.7	5424.36
888.077	9403.915	10101.7	5501.06
886.577	9460.115	10207.4	5591.06
885.076	9517.32	10307.4	5799.38
883.576	9750.02	10601.2	5744.38
882.074	9826.13	10524.7	5679.42
880.573	9951.035	10692.9	5787.74
879.071	10146.945	10660.1	6052.48
877.569	10181.355	10464.3	5826.12
876.067	10160.165	10244.1	5761.36
874.565	9989.375	10236.4	5260.6
873.062	9553.99	9738.6	5146.06
871.559	9289.705	9360.1	4911.72
870.055	8937.225	8922.4	4662.6
868.552	8615.44	8607.4	4430.26
867.048	8575.26	8503.6	4291.04
865.544	8586.08	8566	4439.42
864.039	8870.005	8486.1	4657.52
862.535	9157.625	8522.5	4787.5
861.03	9501.65	8634.7	5587
859.524	10079.18	8767.4	6055.62
858.019	10890.105	9031.2	6608.82
856.513	11593.335	9142.2	7231.54
855.007	12379.965	9297.4	7721.26
853.501	13198.295	9492.9	8004.98
851.994	13773.03	9467.7	8434.72
850.487	13670.065	9283.8	8313.46
848.98	13430.6	9042.4	7603.4
847.472	12678.74	8669	7119.16
845.965	11514.275	8201.7	6482.6
844.457	10552.515	8003.3	5846.26
842.948	9920.46	7667.8	5652.84
841.44	9460.4	7445.2	5116.3
839.931	9377.745	7301.6	4793.78
838.422	9132.69	7501	5074.36
836.912	9091.04	7515.9	5190.96
835.403	9367.785	7715.8	5423.44
833.893	9670.935	7936.5	5516.74
832.383	9864.785	8157.7	5798.64
830.872	10182.74	8290.5	6070.66
829.361	10480.595	8421.7	6296.18
827.85	10631.15	8444.7	5942.6
826.339	10483.405	8055.2	6102.02
824.827	9974.565	7680.8	5250.86
823.315	9480.225	7091.6	4720.7
821.803	8922.185	6485.5	4185.94
820.291	8047.545	5870.8	3856.28
818.778	7233.21	5343.9	3133.44
817.265	6672.675	4883.8	2709.9
815.752	6209.64	4418.4	2617.06
814.238	5711.71	4093.6	2302.84
812.724	5293.68	3958.8	1775.72
811.21	4952.85	3589	1810.2
809.696	4845.52	3368.5	1753.98
808.181	4599.595	3208.1	1390.68
806.666	4328.97	2868.4	1426.98
805.151	3993.045	2729	1002.88
803.636	3923.32	2540.2	791.78
802.12	3644.2	2423.97	943.6
800.604	3367.98	2332	618.82
799.087	3168.165	2209.84	645.36
797.571	3075.045	2122.89	587.78
796.054	2916.63	2082.67	678.72
794.537	2831.315	2046.31	514.06
793.019	2720.705	1980.31	520.92
791.502	2695.89	2015.35	613.46
789.984	2634.28	1916.44	679.52
788.465	2745.575	1997.04	503.6
786.947	2648.865	2089.14	344.26
785.428	2748.56	2046.78	540.44
783.909	2714.955	2136.09	654.32
782.389	2792.255	2036.14	697.52
780.87	2761.35	2171.48	633.7
779.35	2895.05	2141.2	658.7
777.829	2959.055	2232.06	706.72
776.309	2961.055	2437.44	960.32
774.788	3131.36	2373.7	936.04
773.267	3107.565	2507.2	1023.56
771.746	3444.87	2588.6	1051.78
770.224	3541.58	2854	1127.82
768.702	3711.09	2983	1450.16
767.18	3913.3	3104.8	1458.7
765.658	4228.91	3439.5	1697.14
764.135	4552.525	3488.9	1733.6
762.612	4860.14	3695.9	2037.56
